gene,pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky
factor,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
39872,6.265480951607181e-11,1.368003318180655e-06,1.3323528020858788e-06,1.332354524359267e-06,1.332354524359267e-06,1.2900625279359185e-06,2.388628466864264e-09,2.5244129737453786e-08,1.055814478964322e-09,1.121470582948411e-09
39873,0.0006018314515504091,0.9999980434809327,0.9998831793028414,1.0,0.5,0.5,0.001932382891055259,0.02042231560116755,0.0008541461611053542,0.0009072614671448712
39874,0.03164228397439281,1.0,1.0,1.0,0.5,0.5,0.055330457821681625,0.5847578537472979,0.02445700505803102,0.025977870417639076
39875,0.1384384016497534,1.0,1.0,1.0,0.5,0.5,0.18688793911184193,1.0,0.0826076532183011,0.08774463208877707
39876,3.676498815810214e-05,0.5519011877927207,0.4692738715911784,0.6334975109522579,0.5,0.34301733951509294,0.00017393481959270132,0.001838223571631027,7.688215370015391e-05,8.1663090861396e-05
39877,0.18285124693528598,1.0,1.0,1.0,0.5,0.5,0.23348293319233407,1.0,0.1032034344709726,0.1096211674725014
39878,0.004011769419573788,1.0,1.0,1.0,0.5,0.5,0.009811492279956383,0.10369238559665879,0.004336846752489651,0.004606534720421126
39879,0.3016627018528945,1.0,1.0,1.0,0.5,0.5,0.34489971111673806,1.0,0.15245154859336993,0.16193178866054547
39880,0.0011611056377148683,0.9999999999903717,0.9999999445107959,1.0,0.5,0.5,0.003395955548194989,0.03589002795139671,0.0015010702113964385,0.0015944146614399132
39881,2.724507125149005e-06,0.05775218862895226,0.04958068548845629,0.05085193880740322,0.050834837498324084,0.03907760569601218,1.8707788726431022e-05,0.00019771255859261968,8.269161353796179e-06,8.783381350323046e-06
39882,0.1790540350376016,1.0,1.0,1.0,0.5,0.5,0.22969388216274056,1.0,0.1015286093593757,0.10784219291621223
40056,0.18157901463521287,1.0,1.0,1.0,0.5,0.5,0.23228139377840049,1.0,0.10267233357860873,0.10905703992999223
40057,0.04249049864860424,1.0,1.0,1.0,0.5,0.5,0.07089221295364119,0.7492216751173034,0.03133556596205877,0.033284176459637216
40058,1.8140101733476591e-10,3.960701707050873e-06,3.832451696106354e-06,3.8324592932316e-06,3.832277892214265e-06,3.6887896875024647e-06,5.561549370022946e-09,5.8777024466439046e-08,2.4582995772690048e-09,2.611169589837443e-09
40059,0.47123312054012934,1.0,1.0,1.0,0.5,0.5,0.4808130591057157,1.0,0.21252756404823953,0.22574364710321324
40060,0.018612096462548265,1.0,1.0,1.0,0.5,0.5,0.03565544811828933,0.3768232567900217,0.0157603155532477,0.01674037496463322
40061,0.2818411468924891,1.0,1.0,1.0,0.5,0.5,0.3278418407852458,1.0,0.14491167928086504,0.15392305057092942
40062,0.10993315254183667,1.0,1.0,1.0,0.5,0.5,0.15501062091918322,1.0,0.0685173354626288,0.07277810417860608
40063,0.028683746228497755,1.0,1.0,1.0,0.5,0.5,0.05113565398202113,0.540425227798745,0.02260283029131107,0.02400839330025629
40064,0.4769793073472313,1.0,1.0,1.0,0.5,0.5,0.484479671740167,1.0,0.21414826930312134,0.22746513634511373
40065,0.0012374885176864047,0.999999999998187,0.9999999796858573,1.0,0.5,0.5,0.0035814013669768522,0.03784990508320673,0.0015830404228585509,0.0016814822122874764
40066,0.2949861949542105,1.0,1.0,1.0,0.5,0.5,0.3392228231535278,1.0,0.1499422673928138,0.15926646714162715
40067,4.5540031043515875e-11,9.943202194939715e-07,9.701384946492198e-07,9.701392813200187e-07,9.701392813200187e-07,9.410847415142555e-07,1.8688085550401676e-09,1.9750432632091035e-08,8.260452214295437e-10,8.774130630667773e-10
40069,0.22936313017139592,1.0,1.0,1.0,0.5,0.5,0.2787937466872617,1.0,0.1232315860254082,0.1308947749543429
40070,0.0037887362863999277,1.0,1.0,1.0,0.5,0.5,0.009333003181681407,0.09863549163329251,0.004125346418723425,0.004381882182188026
544988,0.0024415302431914283,1.0,0.9999999999999958,1.0,0.5,0.5,0.006415182243855615,0.06779861125321829,0.002835619851399218,0.003011953625496954
677156,0.0003175671262376658,0.9990267424700926,0.9929816947525424,1.0,0.5,0.5,0.001112204587120226,0.011754292172826931,0.0004916133768570716,0.0005221844853557527
100043387,0.08515147915987042,1.0,1.0,1.0,0.5,0.5,0.12639375083615662,1.0,0.055868191321780135,0.05934236964752528
0610007C21Rik,0.146007020401627,1.0,1.0,1.0,0.5,0.5,0.1949113090738214,1.0,0.08615411944084686,0.09151163625593589
0610007L01Rik,0.49616110037665884,1.0,1.0,1.0,0.5,0.5,0.497596983217023,1.0,0.21994634446402347,0.2336237663508833
0610007P08Rik,0.019278347658649005,1.0,1.0,1.0,0.5,0.5,0.03670422142913342,0.3879071779152201,0.01622389122527098,0.017232778213028353
0610007P14Rik,0.0068792888176299,1.0,1.0,1.0,0.5,0.5,0.015444222775297006,0.1632216850976227,0.006826609599908006,0.007251124132224325
0610007P22Rik,0.11639600721115961,1.0,1.0,1.0,0.5,0.5,0.1624826047854011,1.0,0.07182007963652588,0.07628623037674566
0610008F07Rik,0.0018022828049850475,1.0,0.9999999999864988,1.0,0.5,0.5,0.004935457684977337,0.05216019813949627,0.0021815563853492845,0.0023172170489766156
0610009B14Rik,0.03831595460175857,1.0,1.0,1.0,0.5,0.5,0.06502987986829058,0.6872658293155344,0.028744314857967954,0.030531787716947284
0610009B22Rik,0.010593264033626912,1.0,1.0,1.0,0.5,0.5,0.02219943588638945,0.2346138997288222,0.009812528887952029,0.010422723604779758
0610009D07Rik,0.08440426358575437,1.0,1.0,1.0,0.5,0.5,0.1254381432322479,1.0,0.055445796479546776,0.05889370806976541
0610009L18Rik,0.24875323154204393,1.0,1.0,1.0,0.5,0.5,0.2973053066711515,1.0,0.13141401093172497,0.1395860261281476
0610009O20Rik,5.696608170397336e-05,0.7117228272859522,0.6192463071774892,0.9655750848823486,0.5,0.44930586779347736,0.00025412788287316026,0.002685740932149357,0.00011232885397127735,0.00011931405360974613
0610010F05Rik,0.1395011132100864,1.0,1.0,1.0,0.5,0.5,0.18794478258335653,1.0,0.08307479603883731,0.08824082430976346
0610010K06Rik,0.0002907000620825769,0.9982498746973335,0.9895470895701036,1.0,0.5,0.5,0.0010304299991178213,0.010890060528016325,0.00045546761571338705,0.000483790990448688
0610010K14Rik,7.777393463853941e-06,0.15617678669719004,0.1315215176431359,0.1410119208931358,0.1409963661062081,0.09889733528636671,4.573595550418418e-05,0.0004833587183735294,2.0216071565946756e-05,2.1473213349213048e-05
0610010O12Rik,0.12707506179946376,1.0,1.0,1.0,0.5,0.5,0.1744627701763833,1.0,0.0771155168531774,0.08191096576411248
0610011F06Rik,0.15158711592949348,1.0,1.0,1.0,0.5,0.5,0.20079518125995433,1.0,0.08875489119445906,0.09427413769226806
0610011L14Rik,0.003185092559880095,1.0,1.0,1.0,0.5,0.5,0.008041487595604954,0.08498615794028067,0.0035544745252900707,0.0037755104683377177
0610012G03Rik,0.0043060252560250065,1.0,1.0,1.0,0.5,0.5,0.010413174586696794,0.11005124233088548,0.004602800583320086,0.004889026960905782
0610012H03Rik,3.644735779628808e-08,0.000795475066496909,0.0007339625538480554,0.0007342320228062233,0.0007341955754484271,0.0006600616496907771,4.7021310931775734e-07,4.969429486642528e-06,2.0784220564375176e-07,2.207669284410886e-07
0610025J13Rik,0.06360204313076681,1.0,1.0,1.0,0.5,0.5,0.0993300671986887,1.0,0.04390558205251189,0.046635862341478325
0610030E20Rik,0.25799900821127897,1.0,1.0,1.0,0.5,0.5,0.3056540448311249,1.0,0.13510429544129277,0.14350579196073032
0610031J06Rik,0.03597205522055152,1.0,1.0,1.0,0.5,0.5,0.061705014751775686,0.6521271179063791,0.02727466782858785,0.028970750296448904
0610037D15Rik,0.20123950333011476,1.0,1.0,1.0,0.5,0.5,0.2517245727934151,1.0,0.11126654996927951,0.11818568995104961
0610037L13Rik,0.00010575391160963187,0.900654639460537,0.8251387892438967,1.0,0.5,0.5,0.00043132605607151917,0.004558453133110233,0.00019065346556500099,0.00020250930199219356
0610037P05Rik,0.0014720706058212012,0.9999999999999892,0.999999999062942,1.0,0.5,0.5,0.004156106150254747,0.04392365087961687,0.0018370697286850123,0.0019513083980115392
0610040B10Rik,0.01045879196134908,1.0,1.0,1.0,0.5,0.5,0.021953459181699584,0.23201430421544628,0.009703802993614669,0.010307236561806344
0610040J01Rik,3.190071369079585e-05,0.5016891962459288,0.42447607911555996,0.5524656749503215,0.5,0.31142084562333583,0.00015398451723357796,0.0016273795546390113,6.806378015119816e-05,7.229634440959022e-05
0910001L09Rik,0.015189467984833291,1.0,1.0,1.0,0.5,0.5,0.02996193870610631,0.3166516176019295,0.013243687389055235,0.014067249609192164
1100001E04Rik,1.9062310246121555e-08,0.0004161198848426917,0.00038700437083505346,0.0003870792718577443,0.0003870792718577443,0.0003527671134147255,2.7195208195670013e-07,2.874115306972821e-06,1.2020745364862658e-07,1.2768258610197064e-07
1100001G20Rik,0.0046867607186430104,1.0,1.0,1.0,0.5,0.5,0.011193969737991742,0.1183030463979868,0.004947925343105171,0.005255613395603832
1110001A16Rik,0.025381201152246277,1.0,1.0,1.0,0.5,0.5,0.046196043022247564,0.48822113593142713,0.02041943808773982,0.021689226272213664
1110002B05Rik,0.08589736059842207,1.0,1.0,1.0,0.5,0.5,0.12725930788829273,1.0,0.05625078228588042,0.05974875213241148
1110002N22Rik,0.014825393349449848,1.0,1.0,1.0,0.5,0.5,0.02937021449598639,0.31039800263573536,0.012982135206593599,0.013789432734749972
1110003E01Rik,4.076310272555194e-07,0.008860727968569182,0.007883327929177897,0.007914564025193166,0.00791415639416591,0.006673327547200109,3.675396579449204e-06,3.8843289936174916e-05,1.6245879082286464e-06,1.725613339077618e-06
1110003O08Rik,0.4980805504692966,1.0,1.0,1.0,0.5,0.5,0.4986972862545221,1.0,0.2204326971531736,0.23414036301126886
1110004E09Rik,0.002037149149896107,1.0,0.999999999999311,1.0,0.5,0.5,0.005482066068999506,0.05793700820152745,0.002423166604008163,0.0025738518632968895
1110004F10Rik,0.06603794077031865,1.0,1.0,1.0,0.5,0.5,0.10246367807167887,1.0,0.045290691447731644,0.04810710513256806
1110005A03Rik,0.42746328870899203,1.0,1.0,1.0,0.5,0.5,0.4480914924567097,1.0,0.19806407409085394,0.21038074117878539
1110006G14Rik,4.405572506566482e-05,0.6178468714377698,0.5292322422976754,0.7533738006343883,0.5,0.3871176561519968,0.0002030636903279978,0.002146070941847071,8.975761085259259e-05,9.533921173884102e-05
1110006O24Rik,0.25955583122814296,1.0,1.0,1.0,0.5,0.5,0.307180267436154,1.0,0.1357789118359587,0.14422235955519513
1110007A13Rik,0.2150386915982737,1.0,1.0,1.0,0.5,0.5,0.26513150378636274,1.0,0.11719264189072945,0.12448029747364535
1110007C09Rik,2.6002429441829712e-05,0.43319753705973874,0.36446387502303035,0.4532804522978629,0.45324834760053373,0.267705341561691,0.00012879071190877514,0.0013611197745927674,5.692768895445584e-05,6.046775242207751e-05
1110007L15Rik,0.0003010974466533346,0.9986054054911004,0.9910535485193217,1.0,0.5,0.5,0.0010628489961838137,0.011232679474095626,0.0004697973647600067,0.0004990118387482689
1110008E08Rik,0.0010715456008786308,0.9999999999318064,0.9999998160803867,1.0,0.5,0.5,0.0031720691652119813,0.0335238931686643,0.0014021086156206298,0.0014892991125292116
1110008F13Rik,0.13319125778618052,1.0,1.0,1.0,0.5,0.5,0.18112043889914867,1.0,0.08005831985965392,0.0850367677576719
1110008J03Rik,1.1481019257490971e-05,0.22172707539850978,0.18589174544903975,0.20566075101826942,0.20559061184389082,0.13787556026320907,6.381786519044243e-05,0.0006744566979685136,2.820858372047998e-05,2.9962741996290374e-05
1110008L16Rik,0.015368737964479672,1.0,1.0,1.0,0.5,0.5,0.030262493486393167,0.31982801944592726,0.013376537722688488,0.014208361276130774
1110008P14Rik,0.004686552890753627,1.0,1.0,1.0,0.5,0.5,0.011193969737991742,0.1183030463979868,0.004947925343105171,0.005255613395603832
1110012D08Rik,0.019505274639154774,1.0,1.0,1.0,0.5,0.5,0.03706515744027617,0.39172171651701787,0.01638343109169668,0.017402239108449534
1110012J17Rik,0.03912174709013402,1.0,1.0,1.0,0.5,0.5,0.06617557581744406,0.6993740736830955,0.029250731987457753,0.031069696530227703
1110012L19Rik,0.18285967562466393,1.0,1.0,1.0,0.5,0.5,0.23348293319233407,1.0,0.1032034344709726,0.1096211674725014
1110014N23Rik,0.03411410130561122,1.0,1.0,1.0,0.5,0.5,0.05904737182241404,0.6240399189822592,0.026099944373826046,0.027722976351439946
1110015M06Rik,0.09694583176432087,1.0,1.0,1.0,0.5,0.5,0.14036429054748212,1.0,0.06204340789931986,0.06590159370916102
