gene,pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,log2 fold change
39872,6.26548095161e-11,1.36800331818e-06,1.33235280209e-06,1.33235452436e-06,1.33235452436e-06,1.29006252794e-06,2.38862846686e-09,2.52441297375e-08,1.05581447896e-09,1.12147058295e-09,-0.0656220186197
39873,0.00060183145155,0.999998043481,0.999883179303,1.0,0.5,0.5,0.00193238289106,0.0204223156012,0.000854146161105,0.000907261467145,-0.0152165616221
39874,0.0316422839744,1.0,1.0,1.0,0.5,0.5,0.0553304578217,0.584757853747,0.024457005058,0.0259778704176,0.0106903336456
39875,0.13843840165,1.0,1.0,1.0,0.5,0.5,0.186887939112,1.0,0.0826076532183,0.0877446320888,-0.0085913455118
39876,3.67649881581e-05,0.551901187793,0.469273871591,0.633497510952,0.5,0.343017339515,0.000173934819593,0.00183822357163,7.68821537002e-05,8.16630908614e-05,0.0202282720266
39877,0.182851246935,1.0,1.0,1.0,0.5,0.5,0.233482933192,1.0,0.103203434471,0.109621167473,0.00362243467438
39878,0.00401176941957,1.0,1.0,1.0,0.5,0.5,0.00981149227996,0.103692385597,0.00433684675249,0.00460653472042,0.0126773133323
39879,0.301662701853,1.0,1.0,1.0,0.5,0.5,0.344899711117,1.0,0.152451548593,0.161931788661,-0.00319466025802
39880,0.00116110563771,0.99999999999,0.999999944511,1.0,0.5,0.5,0.00339595554819,0.0358900279514,0.0015010702114,0.00159441466144,0.025559090098
39881,2.72450712515e-06,0.057752188629,0.0495806854885,0.0508519388074,0.0508348374983,0.039077605696,1.87077887264e-05,0.000197712558593,8.2691613538e-06,8.78338135032e-06,0.0402187958553
39882,0.179054035038,1.0,1.0,1.0,0.5,0.5,0.229693882163,1.0,0.101528609359,0.107842192916,-0.0072629367077
40056,0.181579014635,1.0,1.0,1.0,0.5,0.5,0.232281393778,1.0,0.102672333579,0.10905703993,-0.0051644237365
40057,0.0424904986486,1.0,1.0,1.0,0.5,0.5,0.0708922129536,0.749221675117,0.0313355659621,0.0332841764596,-0.00591066654333
40058,1.81401017335e-10,3.96070170705e-06,3.83245169611e-06,3.83245929323e-06,3.83227789221e-06,3.6887896875e-06,5.56154937002e-09,5.87770244664e-08,2.45829957727e-09,2.61116958984e-09,0.0561325419108
40059,0.47123312054,1.0,1.0,1.0,0.5,0.5,0.480813059106,1.0,0.212527564048,0.225743647103,-0.00180644723987
40060,0.0186120964625,1.0,1.0,1.0,0.5,0.5,0.0356554481183,0.37682325679,0.0157603155532,0.0167403749646,0.0137461092362
40061,0.281841146892,1.0,1.0,1.0,0.5,0.5,0.327841840785,1.0,0.144911679281,0.153923050571,-0.00271288989054
40062,0.109933152542,1.0,1.0,1.0,0.5,0.5,0.155010620919,1.0,0.0685173354626,0.0727781041786,-0.00569708840768
40063,0.0286837462285,1.0,1.0,1.0,0.5,0.5,0.051135653982,0.540425227799,0.0226028302913,0.0240083933003,-0.00985404450792
40064,0.476979307347,1.0,1.0,1.0,0.5,0.5,0.48447967174,1.0,0.214148269303,0.227465136345,0.00158996576599
40065,0.00123748851769,0.999999999998,0.999999979686,1.0,0.5,0.5,0.00358140136698,0.0378499050832,0.00158304042286,0.00168148221229,-0.0199981365318
40066,0.294986194954,1.0,1.0,1.0,0.5,0.5,0.339222823154,1.0,0.149942267393,0.159266467142,-0.00659864762438
40067,4.55400310435e-11,9.94320219494e-07,9.70138494649e-07,9.7013928132e-07,9.7013928132e-07,9.41084741514e-07,1.86880855504e-09,1.97504326321e-08,8.2604522143e-10,8.77413063067e-10,-0.0673011301162
40069,0.229363130171,1.0,1.0,1.0,0.5,0.5,0.278793746687,1.0,0.123231586025,0.130894774954,0.00543871267822
40070,0.0037887362864,1.0,1.0,1.0,0.5,0.5,0.00933300318168,0.0986354916333,0.00412534641872,0.00438188218219,-0.00801594258199
544988,0.00244153024319,1.0,1.0,1.0,0.5,0.5,0.00641518224386,0.0677986112532,0.0028356198514,0.0030119536255,-0.00962736154336
677156,0.000317567126238,0.99902674247,0.992981694753,1.0,0.5,0.5,0.00111220458712,0.0117542921728,0.000491613376857,0.000522184485356,0.0341044078695
100043387,0.0851514791599,1.0,1.0,1.0,0.5,0.5,0.126393750836,1.0,0.0558681913218,0.0593423696475,-0.0128358939071
0610007C21Rik,0.146007020402,1.0,1.0,1.0,0.5,0.5,0.194911309074,1.0,0.0861541194408,0.0915116362559,-0.00166803268381
0610007L01Rik,0.496161100377,1.0,1.0,1.0,0.5,0.5,0.497596983217,1.0,0.219946344464,0.233623766351,0.000757545774641
0610007P08Rik,0.0192783476586,1.0,1.0,1.0,0.5,0.5,0.0367042214291,0.387907177915,0.0162238912253,0.017232778213,-0.0109047929402
0610007P14Rik,0.00687928881763,1.0,1.0,1.0,0.5,0.5,0.0154442227753,0.163221685098,0.00682660959991,0.00725112413222,-0.01781451642
0610007P22Rik,0.116396007211,1.0,1.0,1.0,0.5,0.5,0.162482604785,1.0,0.0718200796365,0.0762862303767,-0.00770452680593
0610008F07Rik,0.00180228280499,1.0,0.999999999986,1.0,0.5,0.5,0.00493545768498,0.0521601981395,0.00218155638535,0.00231721704898,0.0319117264553
0610009B14Rik,0.0383159546018,1.0,1.0,1.0,0.5,0.5,0.0650298798683,0.687265829316,0.028744314858,0.0305317877169,0.00963832843896
0610009B22Rik,0.0105932640336,1.0,1.0,1.0,0.5,0.5,0.0221994358864,0.234613899729,0.00981252888795,0.0104227236048,-0.00700467452709
0610009D07Rik,0.0844042635858,1.0,1.0,1.0,0.5,0.5,0.125438143232,1.0,0.0554457964795,0.0588937080698,0.00971913964973
0610009L18Rik,0.248753231542,1.0,1.0,1.0,0.5,0.5,0.297305306671,1.0,0.131414010932,0.139586026128,-0.00526117757975
0610009O20Rik,5.6966081704e-05,0.711722827286,0.619246307177,0.965575084882,0.5,0.449305867793,0.000254127882873,0.00268574093215,0.000112328853971,0.00011931405361,-0.0150522336478
0610010F05Rik,0.13950111321,1.0,1.0,1.0,0.5,0.5,0.187944782583,1.0,0.0830747960388,0.0882408243098,0.00873761879438
0610010K06Rik,0.000290700062083,0.998249874697,0.98954708957,1.0,0.5,0.5,0.00103042999912,0.010890060528,0.000455467615713,0.000483790990449,-0.0193321977351
0610010K14Rik,7.77739346385e-06,0.156176786697,0.131521517643,0.141011920893,0.140996366106,0.0988973352864,4.57359555042e-05,0.000483358718374,2.02160715659e-05,2.14732133492e-05,-0.028059998415
0610010O12Rik,0.127075061799,1.0,1.0,1.0,0.5,0.5,0.174462770176,1.0,0.0771155168532,0.0819109657641,0.00900390387349
0610011F06Rik,0.151587115929,1.0,1.0,1.0,0.5,0.5,0.20079518126,1.0,0.0887548911945,0.0942741376923,0.00454928826681
0610011L14Rik,0.00318509255988,1.0,1.0,1.0,0.5,0.5,0.0080414875956,0.0849861579403,0.00355447452529,0.00377551046834,-0.0097651072414
0610012G03Rik,0.00430602525603,1.0,1.0,1.0,0.5,0.5,0.0104131745867,0.110051242331,0.00460280058332,0.00488902696091,-0.00996003426319
0610012H03Rik,3.64473577963e-08,0.000795475066497,0.000733962553848,0.000734232022806,0.000734195575448,0.000660061649691,4.70213109318e-07,4.96942948664e-06,2.07842205644e-07,2.20766928441e-07,-0.0521978606509
0610025J13Rik,0.0636020431308,1.0,1.0,1.0,0.5,0.5,0.0993300671987,1.0,0.0439055820525,0.0466358623415,-0.0101646264706
0610030E20Rik,0.257999008211,1.0,1.0,1.0,0.5,0.5,0.305654044831,1.0,0.135104295441,0.143505791961,0.00233561059256
0610031J06Rik,0.0359720552206,1.0,1.0,1.0,0.5,0.5,0.0617050147518,0.652127117906,0.0272746678286,0.0289707502964,-0.00607442008088
0610037D15Rik,0.20123950333,1.0,1.0,1.0,0.5,0.5,0.251724572793,1.0,0.111266549969,0.118185689951,0.00345300461618
0610037L13Rik,0.00010575391161,0.900654639461,0.825138789244,1.0,0.5,0.5,0.000431326056072,0.00455845313311,0.000190653465565,0.000202509301992,-0.0173398469713
0610037P05Rik,0.00147207060582,1.0,0.999999999063,1.0,0.5,0.5,0.00415610615025,0.0439236508796,0.00183706972869,0.00195130839801,-0.0128521886635
0610040B10Rik,0.0104587919613,1.0,1.0,1.0,0.5,0.5,0.0219534591817,0.232014304215,0.00970380299361,0.0103072365618,-0.0170991037558
0610040J01Rik,3.19007136908e-05,0.501689196246,0.424476079116,0.55246567495,0.5,0.311420845623,0.000153984517234,0.00162737955464,6.80637801512e-05,7.22963444096e-05,0.0157112083987
0910001L09Rik,0.0151894679848,1.0,1.0,1.0,0.5,0.5,0.0299619387061,0.316651617602,0.0132436873891,0.0140672496092,-0.00825713298907
1100001E04Rik,1.90623102461e-08,0.000416119884843,0.000387004370835,0.000387079271858,0.000387079271858,0.000352767113415,2.71952081957e-07,2.87411530697e-06,1.20207453649e-07,1.27682586102e-07,0.0641156079169
1100001G20Rik,0.00468676071864,1.0,1.0,1.0,0.5,0.5,0.011193969738,0.118303046398,0.00494792534311,0.0052556133956,-0.0194218534323
1110001A16Rik,0.0253812011522,1.0,1.0,1.0,0.5,0.5,0.0461960430222,0.488221135931,0.0204194380877,0.0216892262722,-0.0130048786916
1110002B05Rik,0.0858973605984,1.0,1.0,1.0,0.5,0.5,0.127259307888,1.0,0.0562507822859,0.0597487521324,0.0120122554904
